Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,15-nov.-21,221
Indonesia,16-nov.-21,347
Indonesia,17-nov.-21,522
Indonesia,18-nov.-21,400
Indonesia,19-nov.-21,360
Indonesia,20-nov.-21,393
Indonesia,21-nov.-21,314
Indonesia,22-nov.-21,186
Indonesia,23-nov.-21,394
Indonesia,24-nov.-21,451
Indonesia,25-nov.-21,372
Indonesia,26-nov.-21,453
Indonesia,27-nov.-21,404
Indonesia,28-nov.-21,264
Indonesia,29-nov.-21,176
Indonesia,30-nov.-21,297
Indonesia,1-déc.-21,278
Indonesia,2-déc.-21,311
Indonesia,3-déc.-21,245
Indonesia,4-déc.-21,246
Indonesia,5-déc.-21,196
Indonesia,6-déc.-21,130
Indonesia,7-déc.-21,261
Indonesia,8-déc.-21,264
Indonesia,9-déc.-21,220
Indonesia,10-déc.-21,192
Indonesia,11-déc.-21,228
Indonesia,12-déc.-21,163
Indonesia,13-déc.-21,106
Indonesia,14-déc.-21,190
Indonesia,15-déc.-21,205
Indonesia,16-déc.-21,213
Indonesia,17-déc.-21,291
Indonesia,18-déc.-21,232
Indonesia,19-déc.-21,164
Indonesia,20-déc.-21,133
Indonesia,21-déc.-21,216
Indonesia,22-déc.-21,179
Indonesia,23-déc.-21,136
Indonesia,24-déc.-21,204
Indonesia,25-déc.-21,255
Indonesia,26-déc.-21,92
Indonesia,27-déc.-21,120
Indonesia,28-déc.-21,278
Indonesia,29-déc.-21,194
Indonesia,30-déc.-21,189
Indonesia,31-déc.-21,180
Indonesia,1-janv.-22,274
Indonesia,2-janv.-22,174
Indonesia,3-janv.-22,265
Indonesia,4-janv.-22,299
Indonesia,5-janv.-22,404
Indonesia,6-janv.-22,533
Indonesia,7-janv.-22,518
Indonesia,8-janv.-22,479
Indonesia,9-janv.-22,529
Indonesia,10-janv.-22,454
Indonesia,11-janv.-22,802
Indonesia,12-janv.-22,646
Indonesia,13-janv.-22,793
Indonesia,14-janv.-22,850
Indonesia,15-janv.-22,1054
Indonesia,16-janv.-22,855
Indonesia,17-janv.-22,772
Indonesia,18-janv.-22,1362
Indonesia,19-janv.-22,1745
Indonesia,20-janv.-22,2116
Indonesia,21-janv.-22,2604
Indonesia,22-janv.-22,3205
Indonesia,23-janv.-22,2925
Indonesia,24-janv.-22,2927
Indonesia,25-janv.-22,4878
Indonesia,26-janv.-22,7010
Indonesia,27-janv.-22,8077
Indonesia,28-janv.-22,9905
Indonesia,29-janv.-22,11588
Indonesia,30-janv.-22,12422
Indonesia,31-janv.-22,10185
